Year,q_num,RawScore,MaxScore,value
FS19,M19a,1,1,100
FS19,M19a,1,1,100
FS19,M19a,NA,1,NA
FS19,M19a,NA,1,NA
FS19,M19a,1,1,100
FS19,M19a,1,1,100
FS19,M19a,1,1,100
FS19,M19a,1,1,100
FS19,M19a,1,1,100
FS19,M19a,NA,1,NA
FS19,M19a,NA,1,NA
FS19,M19a,NA,1,NA
FS19,M19a,1,1,100
FS19,M19a,NA,1,NA
FS19,M19a,NA,1,NA
FS19,M19a,NA,1,NA
FS19,M19a,0,1,0
FS19,M19a,NA,1,NA
FS19,M19a,NA,1,NA
FS19,M19a,1,1,100
FS19,M19a,NA,1,NA
FS19,M19a,1,1,100
FS19,M19a,1,1,100
FS19,M19a,NA,1,NA
FS19,M19a,NA,1,NA
FS19,M19a,NA,1,NA
FS19,M19a,1,1,100
FS19,M19a,NA,1,NA
FS19,M19a,NA,1,NA
FS19,M19a,NA,1,NA
FS19,M19a,1,1,100
FS19,M19a,1,1,100
FS19,M19a,NA,1,NA
FS19,M19a,NA,1,NA
FS19,M19a,1,1,100
FS19,M19a,0,1,0
FS19,M19b,0,1,0
FS19,M19b,0,1,0
FS19,M19b,NA,1,NA
FS19,M19b,1,1,100
FS19,M19b,NA,1,NA
FS19,M19b,NA,1,NA
FS19,M19b,0,1,0
FS19,M19b,1,1,100
FS19,M19b,NA,1,NA
FS19,M19b,NA,1,NA
FS19,M19b,0,1,0
FS19,M19b,1,1,100
FS19,M19b,NA,1,NA
FS19,M19b,NA,1,NA
FS19,M19b,NA,1,NA
FS19,M19b,NA,1,NA
FS19,M19b,NA,1,NA
FS19,M19b,1,1,100
FS19,M19b,1,1,100
FS19,M19b,1,1,100
FS19,M19b,NA,1,NA
FS19,M19b,0,1,0
FS19,M19b,0,1,0
FS19,M19b,0,1,0
FS19,M19b,NA,1,NA
FS19,M19b,1,1,100
FS19,M19b,1,1,100
FS19,M19b,NA,1,NA
FS19,M19b,1,1,100
FS19,M19b,NA,1,NA
FS19,M19b,NA,1,NA
FS19,M19b,0,1,0
FS19,M19b,1,1,100
FS19,M19b,1,1,100
FS19,M19b,NA,1,NA
FS19,M19b,0,1,0
FS19,M19b,1,1,100
FS19,M19b,1,1,100
FS19,M19b,NA,1,NA
FS19,M19b,NA,1,NA
FS19,M19b,1,1,100
FS19,M19b,1,1,100
FS19,M19b,NA,1,NA
FS19,M19b,NA,1,NA
FS19,M20,0,1,0
FS19,M20,1,1,100
FS19,M20,1,1,100
FS19,M20,1,1,100
FS19,M20,1,1,100
FS19,M20,1,1,100
FS19,M20,1,1,100
FS19,M20,1,1,100
FS19,M20,1,1,100
FS19,M20,0,1,0
FS19,M20,1,1,100
FS19,M20,1,1,100
FS19,M20,1,1,100
FS19,M20,1,1,100
FS19,M20,1,1,100
FS19,M20,1,1,100
FS19,M20,1,1,100
FS19,M20,0,1,0
FS19,M20,1,1,100
FS19,M20,1,1,100
FS19,M20,1,1,100
FS19,M20,0,1,0
FS19,M20,1,1,100
FS19,M20,1,1,100
FS19,M20,1,1,100
FS19,M20,0,1,0
FS19,M20,1,1,100
FS19,M20,1,1,100
FS19,M20,1,1,100
FS19,M20,0,1,0
FS19,M20,1,1,100
FS19,M20,1,1,100
FS19,M20,1,1,100
FS19,M20,1,1,100
FS19,M20,0,1,0
FS19,M20,1,1,100
FS19,M20,0,1,0
FS19,M20,1,1,100
FS19,M20,1,1,100
FS19,M20,0,1,0
FS19,M20,1,1,100
FS19,M20,1,1,100
FS19,M20,0,1,0
FS19,M20,1,1,100
FS19,F25_M21a,NA,0.5,NA
FS19,F25_M21a,NA,0.5,NA
FS19,F25_M21a,0.5,0.5,100
FS19,F25_M21a,NA,0.5,NA
FS19,F25_M21a,0.5,0.5,100
FS19,F25_M21a,0.5,0.5,100
FS19,F25_M21a,NA,0.5,NA
FS19,F25_M21a,NA,0.5,NA
FS19,F25_M21a,0.5,0.5,100
FS19,F25_M21a,0.5,0.5,100
FS19,F25_M21a,NA,0.5,NA
FS19,F25_M21a,NA,0.5,NA
FS19,F25_M21a,0,0.5,0
FS19,F25_M21a,0.5,0.5,100
FS19,F25_M21a,0.5,0.5,100
FS19,F25_M21a,0.5,0.5,100
FS19,F25_M21a,0.5,0.5,100
FS19,F25_M21a,NA,0.5,NA
FS19,F25_M21a,NA,0.5,NA
FS19,F25_M21a,NA,0.5,NA
FS19,F25_M21a,0.5,0.5,100
FS19,F25_M21a,NA,0.5,NA
FS19,F25_M21a,NA,0.5,NA
FS19,F25_M21a,NA,0.5,NA
FS19,F25_M21a,0.5,0.5,100
FS19,F25_M21a,NA,0.5,NA
FS19,F25_M21a,NA,0.5,NA
FS19,F25_M21a,0.5,0.5,100
FS19,F25_M21a,NA,0.5,NA
FS19,F25_M21a,0.5,0.5,100
FS19,F25_M21a,0.5,0.5,100
FS19,F25_M21a,NA,0.5,NA
FS19,F25_M21a,NA,0.5,NA
FS19,F25_M21a,NA,0.5,NA
FS19,F25_M21a,0.5,0.5,100
FS19,F25_M21a,NA,0.5,NA
FS19,F25_M21a,NA,0.5,NA
FS19,F25_M21a,NA,0.5,NA
FS19,F25_M21a,0.5,0.5,100
FS19,F25_M21a,0.5,0.5,100
FS19,F25_M21a,NA,0.5,NA
FS19,F25_M21a,NA,0.5,NA
FS19,F25_M21a,0.5,0.5,100
FS19,F25_M21a,0.5,0.5,100
FS19,F26_M21b,NA,0.5,NA
FS19,F26_M21b,NA,0.5,NA
FS19,F26_M21b,0.5,0.5,100
FS19,F26_M21b,NA,0.5,NA
FS19,F26_M21b,0.5,0.5,100
FS19,F26_M21b,0.5,0.5,100
FS19,F26_M21b,NA,0.5,NA
